"Артикул";"Название";"Код категории";"Категория";"Купаж, руб";"Упаковка, руб";"Итого себестоимость, руб";"Цена +40%, руб"
"2101-ПА500";"Божественный, 500 гр";"1.1.3";"Черный чай с ароматами";194,85;0,00;194,85;272,79
"2102-ПА500";"Венецианская ночь, 500 гр.";"1.1.2";"Черный чай с добавками";211,45;4,05;215,50;301,70
"2104-ПА500";"Ирландские сливки, 500 гр.";"1.1.3";"Черный чай с ароматами";201,29;4,05;205,34;287,47
"2105-10";"ПЭТ Масала";"1.1.2";"Черный чай с добавками";59,75;27,40;87,15;122,00
"2105-ПА500";"Масала, 500 гр";"1.1.2";"Черный чай с добавками";248,94;4,05;252,99;354,18
"2106-ПА500";"Пирог с черникой, 500 гр.";"1.1.2";"Черный чай с добавками";226,86;4,05;230,91;323,27
"2107-ПА500";"Брызги шампанского, 500 гр.";"1.1.3";"Черный чай с ароматами";194,68;4,05;198,73;278,23
"2109-ПА500";"Екатерина Великая, 500 гр.";"1.1.2";"Черный чай с добавками";214,83;4,05;218,88;306,43
"2111-ПА500";"Земляника со сливками, 500 гр.";"1.1.3";"Черный чай с ароматами";192,02;4,05;196,07;274,50
"2112-ПА500";"Мартиника, 500 гр.";"1.1.3";"Черный чай с ароматами";206,53;4,05;210,58;294,82
"2113/1-ПА500";"Апельсин в шоколаде, 500 гр.";"1.1.2";"Черный чай с добавками";235,06;4,05;239,11;334,75
"2115-ПА500";"Малиновый рай";"1.1.2";"Черный чай с добавками";220,20;0,00;220,20;308,28
"2117-ПА500";"Лесная ягода, 500 гр.";"1.1.3";"Черный чай с ароматами";273,76;4,05;277,81;388,93
"2118-ПА500";"Дикая вишня, 500 гр.";"1.1.3";"Черный чай с ароматами";229,47;4,05;233,52;326,92
"2119-ПА500";"Манго-Маракуйя, 500 гр.";"1.1.3";"Черный чай с ароматами";225,84;4,05;229,89;321,84
"2120-ПА500";"Императорский, 500 гр.";"1.1.2";"Черный чай с добавками";197,89;4,05;201,94;282,72
"2124-10";"ПЭТ ""Таёжный сбор""";"1.1.2";"Черный чай с добавками";59,46;27,06;86,52;121,13
"2124-ПА500";"Таёжный сбор, 500 гр";"1.1.2";"Черный чай с добавками";330,36;4,89;335,25;469,35
"2125-ПА500";"Душевный, 500 гр";"1.1.2";"Черный чай с добавками";154,63;0,00;154,63;216,48
"2126-ПА500";"Князь Андрей, 500 гр.";"1.1.2";"Черный чай с добавками";234,35;4,05;238,40;333,76
"2128-ПА500";"Сочный персик, 500 гр.";"1.1.3";"Черный чай с ароматами";250,06;4,05;254,11;355,76
"2130/1-10";"ПЭТ Изысканный бергамот";"1.1.3";"Черный чай с ароматами";65,44;27,86;93,30;130,61
"2130/1-ПА500";"Изысканный бергамот, 500 гр";"1.1.3";"Черный чай с ароматами";218,12;4,89;223,01;312,21
"2131-ПА500";"Княжна Ольга, 500 гр";"1.1.2";"Черный чай с добавками";227,58;0,00;227,58;318,61
"2133-ПА500";"Тоффи (Черный чай), 500 гр";"1.1.3";"Черный чай с ароматами";209,12;0,00;209,12;292,77
"2139-ПА500";"Королевский десерт, 500 гр.";"1.1.3";"Черный чай с ароматами";270,29;4,05;274,34;384,07
"2140-ПА500";"Черный чай с мятой, 500 гр.";"1.1.2";"Черный чай с добавками";182,86;4,05;186,91;261,68
"2141-ПА500";"Крем-карамель, 500 гр.";"1.1.3";"Черный чай с ароматами";263,33;4,05;267,38;374,34
"2143-ПА500";"Мишки Гамми, 500 гр.";"1.1.2";"Черный чай с добавками";232,50;4,05;236,55;331,17
"2144-ПА500";"Дыня со сливками, 500 гр.";"1.1.3";"Черный чай с ароматами";183,27;4,05;187,32;262,24
"2145-ПА500";"Черный чай с саусепом, 500 гр.";"1.1.3";"Черный чай с ароматами";194,45;4,05;198,50;277,90
"2148-ПА500";"Сладкий цитрус, 500 гр";"1.1.3";"Черный чай с ароматами";188,71;0,00;188,71;264,20
"2151-ЗИП100";"Черный чай с чабрецом, 100 гр";"1.1.2";"Черный чай с добавками";28,94;14,00;42,94;60,11
"2151-ПА500";"Черный чай с чабрецом, 500 гр.";"1.1.2";"Черный чай с добавками";144,69;4,05;148,74;208,24
"2151/3-ПА500";"Черный чай с чабрецом высшего качества, 500 гр";"1.1.2";"Черный чай с добавками";287,63;0,00;287,63;402,68
"2152/1-ПА500";"Облепиха с имбирем, 500 гр.";"1.1.2";"Черный чай с добавками";220,87;4,05;224,92;314,89
"2153-ПА500";"Таежный (Премиум), 500 гр";"1.1.2";"Черный чай с добавками";334,22;0,00;334,22;467,90
"2156-ПА500";"Айва с персиком, 500 гр.";"1.1.2";"Черный чай с добавками";194,77;4,05;198,82;278,34
"2202-ПА500";"Сокровища Японии, 500 гр.";"1.2.3";"Зеленый чай с ароматами";236,06;4,05;240,11;336,16
"2204-10";"ПЭТ Поцелуй Гейши";"1.2.3";"Зеленый чай с ароматами";43,42;27,40;70,82;99,15
"2204-ПА500";"Поцелуй Гейши, 500 гр";"1.2.3";"Зеленый чай с ароматами";180,93;4,05;184,98;258,98
"2206-ПА500";"Грация, 500 гр";"1.2.3";"Зеленый чай с ароматами";251,63;0,00;251,63;352,29
"2207-ПА500";"Маргентау, 500 гр";"1.2.3";"Зеленый чай с ароматами";264,41;4,05;268,46;375,85
"2208-ПА500";"Эверест";"1.2.3";"Зеленый чай с ароматами";204,37;0,00;204,37;286,12
